C3.E-4.C5;0.25 F3.G3;0.25 D4;0.25 E-3.G3.E-4;0.25 C4.E-4;0.25 G3;0.25 F3.D4.E-4;0.25 rest;0.25
C3.E-4.C5;0.25 rest;0.25 F3.D4.E-4;0.25 G3;0.25 E-3.G3.C4;0.25 E-4;0.25 F3.D4.E-4;0.25 G3;0.25
C3.G#3.G#4;0.25 E4.F4;0.25 G3;0.25 F3.G#3.F4;0.25 C4;0.25 G#3.F4;0.25 G3.E4;0.25 G#3.F4;0.25
C3.G#4;0.25 G#3.F4;0.25 G3.E4.F4;0.25 G#3;0.25 F3.C4.F4;0.25 rest;0.25 G3.E4.F4;0.25 G#3;0.25
C3.G#3.B4;0.25 F4;0.25 G3.E-4.F4;0.25 rest;0.25 F3.G#3.D4;0.25 E-4.F4;0.25 G3;0.25 G#3.F4;0.25
C3.F4.B4;0.25 rest;0.25 G3.E-4;0.25 F3.D4.F4;0.25 rest;0.25 G#3.E-4.F4;0.25 G3.G#3;0.25 F4;0.25
C3.E-3.C5;0.25 G4;0.25 D3.F4.G4;0.25 rest;0.25 E-3.E-4.G4;0.25 rest;0.25 D3.F4;0.25 E-3.G4;0.25
C3.E-3.C5;0.25 F4.G4;0.25 D3.E-3;0.25 E-4.G4;0.25 G3;0.25 D3.E-3.G4;0.25 F4.G4;0.25 E-3;0.25
C3.E-5;0.25 C4.G#4;0.25 B-3.C4.G4;0.25 E-4.G#4;0.25 G#3.C4;0.25 G4.G#4;0.25 B-3;0.25 C4.G#4;0.25
C3.C4.E-5;0.25 G#4;0.25 B-3.G4.G#4;0.25 rest;0.25 G#3.C4.E-4;0.25 G4.G#4;0.25 B-3;0.25 C4.G#4;0.25
C3.D5;0.25 G3.E4.F#4;0.25 rest;0.25 F#3.A3.F#4;0.25 D4;0.25 A3.F#4;0.25 G3.E4.F#4;0.25 rest;0.25
C3.F#4.D5;0.25 rest;0.25 G3.E4.F#4;0.25 A3;0.25 F#3.D4.F#4;0.25 G3.A3;0.25 E4;0.25 A3.F#4;0.25
B-2.G4.D5;0.25 rest;0.25 A3.F#4.G4;0.25 rest;0.25 G3.D4.G4;0.25 rest;0.25 A3.B-3.F#4;0.25 G4;0.25
B-2.B-3.D5;0.25 F#4.G4;0.25 A3.B-3;0.25 G4;0.25 G3.D4.G4;0.25 rest;0.25 A3.F#4.G4;0.25 rest;0.25
B-2.C5;0.25 G3.D4.E4;0.25 F3.G3;0.25 E4;0.25 E3.C4;0.25 G3.D4.E4;0.25 F3.G3;0.25 E4;0.25
B-2.G3.C5;0.25 E4;0.25 F3.D4;0.25 E3.C4.E4;0.25 rest;0.25 F3.G3.E4;0.25 D4;0.25 G3.E4;0.25
G#2.C5;0.25 G3.G#3.F4;0.25 E4.F4;0.25 F3.G#3;0.25 C4;0.25 G#3.F4;0.25 G3.E4.F4;0.25 rest;0.25
G#2.C5;0.25 G3.G#3.F4;0.25 E4;0.25 F3.C4.F4;0.25 rest;0.25 G#3.E4.F4;0.25 G3;0.25 G#3.F4;0.25
